customer_id_old,source_id_old,customer_id_new,source_id_new
cus_KGKAyfemBqBdqT,src_1JbnWJKhuokAmGLhY933YuY7,cus_KGKAyfemBqBdqT,src_1OrfJFCDacOypsYbENAZVfOn
cus_KGOciE3tqneg9u,src_1LaNH6KhuokAmGLhLxfJbVPi,cus_KGOciE3tqneg9u,src_1OrfJECDacOypsYbi5sPoxOC
cus_KGPgugPNLbfcUJ,,cus_KGPgugPNLbfcUJ,
cus_KGPg7jFB7G7x4h,src_1MWVgHKhuokAmGLhawWTUzqP,cus_KGPg7jFB7G7x4h,src_1OrfJECDacOypsYbdKSiqrze
cus_KGPmDEKgglbqZN,src_1JkGHdKhuokAmGLhh0MeA9cY,cus_KGPmDEKgglbqZN,src_1OrfJDCDacOypsYbgtzRO5JD
cus_KGPmDEKgglbqZN,src_1JbswQKhuokAmGLhXxX295ns,cus_KGPmDEKgglbqZN,src_1OrfJDCDacOypsYb2kfVY0Vm
cus_KGTQVsqIc7DLQp,src_1KWUvvKhuokAmGLhS1x2Kv0v,cus_KGTQVsqIc7DLQp,src_1OrfJCCDacOypsYbqVXKhRSY
cus_KGTQVsqIc7DLQp,src_1MMLUNKhuokAmGLhyBuLjKxr,cus_KGTQVsqIc7DLQp,src_1OrfJCCDacOypsYbkQdWsDXO
cus_KGTQVsqIc7DLQp,src_1K2GwIKhuokAmGLhjTr1kMyt,cus_KGTQVsqIc7DLQp,src_1OrfJCCDacOypsYb8WB3x1zE
cus_KGVzWunS51qrsf,src_1MXTQpKhuokAmGLhXsVBs5wC,cus_KGVzWunS51qrsf,src_1OrfJBCDacOypsYbOII79AXH
cus_KGVzWunS51qrsf,src_1KoTXSKhuokAmGLhw8gWXKkB,cus_KGVzWunS51qrsf,src_1OrfJBCDacOypsYbvpWVZKtz
cus_KGgtkC5JcXk6yg,,cus_KGgtkC5JcXk6yg,
cus_KGlHbwDtjRCDxZ,src_1JcDkqKhuokAmGLhfOPfTfDO,cus_KGlHbwDtjRCDxZ,src_1OrfJACDacOypsYbyRQ1jfqC
cus_KGrnzGlOzwhuBC,src_1JcK4AKhuokAmGLhf36wtRjk,cus_KGrnzGlOzwhuBC,src_1OrfJACDacOypsYbzGbjWb9x
cus_KH49Z8nGmdFvWV,pm_1OPT5bKhuokAmGLhok0DaNMs,cus_KH49Z8nGmdFvWV,pm_1OrfJACDacOypsYb40JHerph
cus_KHCmmv0jFeOQEw,src_1K7Tx6KhuokAmGLhstPiaTot,cus_KHCmmv0jFeOQEw,src_1OrfJ9CDacOypsYbzSZbLel7
cus_KHDAoVg9k5LZ9b,src_1M6iaJKhuokAmGLhAxT972pd,cus_KHDAoVg9k5LZ9b,src_1OrfJ8CDacOypsYbnz2YffcU
cus_KHDAoVg9k5LZ9b,src_1JcejtKhuokAmGLhyiLxWTe6,cus_KHDAoVg9k5LZ9b,src_1OrfJ8CDacOypsYbwH8ZjEDX
